date,Open,High,Low,Close,Volume
2025-04-24 04:00:00,533.73,533.73,531.1,532.04,74339.0
2025-04-24 05:00:00,532.14,533.48,532.04,533.2,127711.0
2025-04-24 06:00:00,533.2,536.45,533.02,535.96,196029.0
2025-04-24 07:00:00,535.96,536.03,533.55,534.3,462107.0
2025-04-24 08:00:00,535.76,536.4,531.29,536.11,677985.0
2025-04-24 09:00:00,536.06,539.6462,535.4504,539.48,5368013.0
2025-04-24 10:00:00,539.48,543.31,539.01,542.46,10022108.0
2025-04-24 11:00:00,542.45,543.9,541.89,542.76,6448061.0
2025-04-24 12:00:00,542.81,545.8479,542.2503,545.44,5770372.0
2025-04-24 13:00:00,545.43,545.59,544.03,545.27,4112930.0
2025-04-24 14:00:00,545.29,546.9,545.03,546.08,5885163.0
2025-04-24 15:00:00,546.05,547.43,544.28,546.54,15013240.0
2025-04-24 16:00:00,546.55,581.8076,518.8465,547.31,13443485.0
2025-04-24 17:00:00,547.39,571.2973,518.8465,548.5,1103393.0
2025-04-24 18:00:00,548.5,548.97,546.69,548.55,2908279.0
2025-04-24 19:00:00,548.549,548.96,548.13,548.39,97941.0
2025-04-24 20:00:00,546.69,546.69,546.69,546.69,2453880.0
2025-04-25 04:00:00,549.0,550.08,548.39,548.76,69507.0
2025-04-25 05:00:00,548.84,549.09,547.62,548.68,69493.0
2025-04-25 06:00:00,548.68,549.3,544.33,544.82,354241.0
2025-04-25 07:00:00,544.62,546.76,544.4,545.5,418235.0
2025-04-25 08:00:00,545.5,550.84,536.245,545.28,808150.0
2025-04-25 09:00:00,545.25,548.1142,526.41,544.88,5551358.0
2025-04-25 10:00:00,544.94,547.93,543.69,546.46,9996106.0
2025-04-25 11:00:00,546.47,547.5,545.7,547.07,3634244.0
2025-04-25 12:00:00,547.09,549.2,546.96,549.1,4706225.0
2025-04-25 13:00:00,549.12,551.05,546.76,547.91,9298106.0
2025-04-25 14:00:00,547.9,550.75,547.535,549.84,5973435.0
2025-04-25 15:00:00,549.8,550.91,548.76,550.52,11320908.0
2025-04-25 16:00:00,550.55,575.3941,516.4665,550.86,11185296.0
2025-04-25 17:00:00,550.85,588.3531,523.4996,550.6953,922080.0
2025-04-25 18:00:00,550.68,551.15,550.565,551.1,1666335.0
2025-04-25 19:00:00,551.14,551.25,550.7,551.2293,40020.0
2025-04-25 20:00:00,550.64,550.64,550.64,550.64,1571349.0
2025-04-28 04:00:00,549.65,549.78,548.22,549.7,47499.0
2025-04-28 05:00:00,549.78,550.62,549.37,550.04,27488.0
2025-04-28 06:00:00,550.11,550.11,548.82,549.02,43898.0
2025-04-28 07:00:00,548.94,550.41,548.77,549.99,146216.0
2025-04-28 08:00:00,549.11,551.1,534.77,550.89,585597.0
2025-04-28 09:00:00,550.9,553.55,550.13,550.29,6315584.0
2025-04-28 10:00:00,550.35,552.1,549.66,550.53,5629749.0
2025-04-28 11:00:00,550.51,551.16,547.03,547.48,5910928.0
2025-04-28 12:00:00,547.42,547.6337,545.7,546.47,4889407.0
2025-04-28 13:00:00,546.46,547.88,545.02,547.705,3667056.0
2025-04-28 14:00:00,547.72,549.04,547.3825,548.73,3732944.0
2025-04-28 15:00:00,548.75,552.28,548.64,550.94,10072168.0
2025-04-28 16:00:00,550.94,565.8309,517.536,550.1822,7391219.0
2025-04-28 17:00:00,550.26,560.5879,517.536,550.08,492766.0
2025-04-28 18:00:00,550.0,550.85,549.49,550.05,872324.0
2025-04-28 19:00:00,550.05,551.21,549.8601,551.175,71099.0
2025-04-28 20:00:00,550.85,550.85,550.85,550.85,756845.0
2025-04-29 04:00:00,552.22,552.85,551.37,552.37,71176.0
2025-04-29 05:00:00,552.33,552.52,551.66,552.04,24324.0
2025-04-29 06:00:00,552.08,552.46,549.12,550.55,140469.0
2025-04-29 07:00:00,550.56,551.38,550.48,550.89,172110.0
2025-04-29 08:00:00,552.831,553.07,549.25,549.4,862674.0
2025-04-29 09:00:00,549.4299,552.245,545.525,550.62,4493694.0
2025-04-29 10:00:00,550.68,553.05,549.41,552.96,6915960.0
2025-04-29 11:00:00,552.97,553.2918,550.872,551.73,4036923.0
2025-04-29 12:00:00,551.7302,553.45,550.51,551.07,3972914.0
2025-04-29 13:00:00,551.08,555.1,550.77,554.7325,5039677.0
2025-04-29 14:00:00,554.74,555.4407,554.12,554.33,5427581.0
2025-04-29 15:00:00,554.34,555.45,553.82,554.14,11126268.0
2025-04-29 16:00:00,554.15,581.722,517.3082,554.06,7219664.0
2025-04-29 17:00:00,554.11,581.722,517.3082,553.8,681925.0
2025-04-29 18:00:00,553.8,554.32,544.95,553.09,1252138.0
2025-04-29 19:00:00,553.0282,553.18,552.6,552.9,45763.0
2025-04-29 20:00:00,554.32,554.32,554.32,554.32,1146154.0
2025-04-30 04:00:00,552.72,554.09,552.72,553.0,33555.0
2025-04-30 05:00:00,553.02,553.96,553.02,553.48,14770.0
2025-04-30 06:00:00,553.46,553.54,552.3,553.15,84898.0
2025-04-30 07:00:00,553.18,553.86,552.13,552.39,320857.0
2025-04-30 08:00:00,553.2877,554.32,546.15,547.11,2009854.0
2025-04-30 09:00:00,547.14,555.035,541.52,541.94,9436366.0
2025-04-30 10:00:00,541.925,547.4597,541.63,546.97,10295200.0
2025-04-30 11:00:00,546.98,549.84,546.89,549.4869,6994932.0
2025-04-30 12:00:00,549.43,550.24,547.41,549.5557,5080942.0
2025-04-30 13:00:00,549.555,551.12,547.14,550.47,4765388.0
2025-04-30 14:00:00,550.48,553.1,549.11,549.6,8752269.0
2025-04-30 15:00:00,549.59,556.52,549.38,554.35,27747280.0
2025-04-30 16:00:00,554.36,566.3735,523.2243,557.6701,20440868.0
2025-04-30 17:00:00,557.66,592.1626,521.8502,557.64,984848.0
2025-04-30 18:00:00,557.64,559.76,554.54,558.87,2653905.0
2025-04-30 19:00:00,558.85,559.46,558.28,559.28,206786.0
2025-04-30 20:00:00,554.54,554.54,554.54,554.54,2236769.0
2025-05-01 04:00:00,560.07,561.08,559.6,560.96,78163.0
2025-05-01 05:00:00,561.0,562.06,560.89,561.9,66652.0
2025-05-01 06:00:00,561.93,562.07,560.62,561.08,113060.0
2025-05-01 07:00:00,561.05,561.75,560.33,561.3,504964.0
2025-05-01 08:00:00,560.2237,562.07,554.125,559.85,865801.0
2025-05-01 09:00:00,559.88,561.36,558.65,558.85,7831272.0
2025-05-01 10:00:00,558.85,563.395,558.83,563.35,9677175.0
2025-05-01 11:00:00,563.36,564.0699,559.69,560.38,8475519.0
2025-05-01 12:00:00,560.4,561.26,559.06,559.69,4420942.0
2025-05-01 13:00:00,559.64,561.9462,559.64,560.57,3892281.0
2025-05-01 14:00:00,560.58,562.69,560.47,561.705,4693543.0
2025-05-01 15:00:00,561.73,562.49,557.86,558.46,13223661.0
2025-05-01 16:00:00,558.43,559.8,519.8712,556.99,10442471.0
2025-05-01 17:00:00,556.92,558.47,519.8712,556.95,858340.0
2025-05-01 18:00:00,556.9,558.47,556.06,557.0,1319161.0
2025-05-01 19:00:00,556.95,557.78,556.7427,557.18,124491.0
2025-05-01 20:00:00,558.47,558.47,558.47,558.47,1125946.0
2025-05-02 04:00:00,560.27,561.79,559.66,559.66,56846.0
2025-05-02 05:00:00,559.65,561.22,559.4,560.75,34506.0
2025-05-02 06:00:00,560.73,561.44,560.6,561.02,62838.0
2025-05-02 07:00:00,560.92,561.49,560.05,560.47,310310.0
2025-05-02 08:00:00,560.92,565.29,558.47,565.09,1314420.0
2025-05-02 09:00:00,565.1496,565.95,546.815,563.62,6650825.0
2025-05-02 10:00:00,563.6449,566.32,563.27,565.8,9088536.0
2025-05-02 11:00:00,565.8,566.39,564.46,566.2299,4510493.0
2025-05-02 12:00:00,566.23,568.0796,566.16,567.5,7140338.0
2025-05-02 13:00:00,567.5,567.77,566.36,567.25,3394731.0
2025-05-02 14:00:00,567.25,568.38,566.45,567.1,4887403.0
2025-05-02 15:00:00,567.08,567.93,566.02,566.62,14548490.0
2025-05-02 16:00:00,566.64,567.49,527.4128,567.04,12266358.0
2025-05-02 17:00:00,567.0417,567.25,527.4128,566.865,682700.0
2025-05-02 18:00:00,566.8898,566.93,566.65,566.82,2173010.0
2025-05-02 19:00:00,566.71,566.95,566.51,566.82,32736.0
2025-05-02 20:00:00,566.76,566.76,566.76,566.76,2145646.0
2025-05-05 04:00:00,563.85,564.49,561.69,562.11,91743.0
2025-05-05 05:00:00,562.02,562.94,561.73,562.58,46402.0
2025-05-05 06:00:00,562.55,562.87,562.17,562.74,70260.0
